bucket,start_day,end_day,count,percentage
1-10,1,10,509,9.7922
11-20,11,20,754,14.5056
21-30,21,30,743,14.2940
31-40,31,40,568,10.9273
41-50,41,50,466,8.9650
51-60,51,60,330,6.3486
61-70,61,70,305,5.8676
71-80,71,80,227,4.3671
81-90,81,90,222,4.2709
91-100,91,100,147,2.8280
101-110,101,110,122,2.3471
111-120,111,120,118,2.2701
121-130,121,130,103,1.9815
131-140,131,140,91,1.7507
141-150,141,150,92,1.7699
151-160,151,160,40,0.7695
161-170,161,170,40,0.7695
171-180,171,180,37,0.7118
181-190,181,190,38,0.7311
191-200,191,200,34,0.6541
201-210,201,210,33,0.6349
211-220,211,220,27,0.5194
221-230,221,230,18,0.3463
231-240,231,240,15,0.2886
241-250,241,250,7,0.1347
251-260,251,260,17,0.3270
261-270,261,270,18,0.3463
271-280,271,280,11,0.2116
281-290,281,290,13,0.2501
291-300,291,300,4,0.0770
301-310,301,310,3,0.0577
311-320,311,320,3,0.0577
321-330,321,330,1,0.0192
331-340,331,340,3,0.0577
341-350,341,350,0,0.0000
351-360,351,360,2,0.0385
361-370,361,370,2,0.0385
371-380,371,380,0,0.0000
381-390,381,390,0,0.0000
391-400,391,400,4,0.0770
no_breach_yet,,,31,0.5964
